"","Reservoir","TGG.W..TGG.W.","TTT.F..ACT.T.","K.Bias","AGC.Bias","GTA.Bias","TGG.W..AAC.N.","GCT.Bias","CAG.Q..AGC.S.","AGA.Bias","acg","GAG.E..AAA.K.","CGA.R..CCC.P.","ApC","AAT.N..ATA.I.","AAC.N..AAG.K.","tga","GpG","aca","agc","C.Bias","GCA.Bias","cag","AAT.N..GGT.G.","GCT.A..CAG.Q.","AGA.R..GAA.E.","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"1","rodent",0,0.273846281588714,0.0578618044809258,0.139670223084384,0.123497997329773,1.09257815915921,0.46343779677113,-9999,0.244935543278085,0.0456633467998459,-0.23624156577073,1.65538153821205,0.956966400131293,-0.457047217340666,-0.0948113882716005,0.150269687172962,0.874695669605438,0.0945883612282522,0.092957527413972,0.0379465787526071,0.221272554605888,0.104373364113933,0.365054848400074,0.169630250007012,-0.870464850188475,0,0,0,0,1,0,0,0
"2","carnivore",0,-0.0831828315130781,0.0561606875187369,0.0915915915915916,0.212355212355212,-0.572452934696103,0.507002801120448,0.980853149872875,0.347938144329897,0.0388637951786427,-0.447163810315006,2.44040022657773,1.17179548766109,-1.16797849787323,0.398008290176195,0.162679860587523,0.940641553857546,0.192824214540189,0.0871944122597752,0.030778455081443,0.282913165266106,0.110612340123829,0.192057967938109,-0.415830576077952,0.495847453131991,0,0,0.757995670908098,0,0,0,0,0.242004329091902
"3","carnivore",0,-0.0832968108122756,0.0560607574697712,0.0914542728635682,0.212355212355212,-0.570516825669237,0.505602240896359,0.979697481189993,0.347938144329897,0.0383944451891399,-0.448944754686001,2.42173591881871,1.16985722608513,-1.1691625161826,0.401944177671973,0.162802420185119,0.941703849279843,0.193218798841451,0.0872601027025908,0.030778455081443,0.282913165266106,0.110695673142715,0.163474975440618,-0.415720366643178,0.495847453131991,0,0,0.757983894416141,0,0,0,0,0.242016105583859
"4","carnivore",0,-0.0972773387106009,0.0562171982236577,0.0893939393939394,0.212710765239948,-0.568027354839707,0.513475177304965,1.05735560602973,0.347258485639687,0.0386956976098261,-0.439247139586987,2.54191148918243,1.17254347031162,-1.16117470124274,0.438784133966991,0.161976221405234,0.936996168144542,0.192486290674519,0.0878094676530669,0.0311869196608801,0.279432624113475,0.10988585923816,0.158694109388096,-0.380638265794685,0.489030766833202,0,0,0.757963281408052,0,0,0,0,0.242036718591948
"5","human",0,0.112582857423053,0.0561449159327462,0.0326633165829146,0.197558268590455,0.361790044605503,0.6484375,-9999,0.334405144694534,0.0234498441188926,-0.261989678580086,-9999,1.09630247641678,0.0839071213908123,-0.245626593006931,0.149149458990434,0.910172986139218,0.0802787456322451,0.0475334678085662,0.0356285028022418,0.23046875,0.0566176416564255,0.177018433712436,0.033029600244548,0.494981288296962,0,0,0,1,0,0,0,0
"6","carnivore",0,-0.0838322334034021,0.0560607574697712,0.0917293233082707,0.212082262210797,-0.573673527425654,0.506311360448808,0.983520441000623,0.347043701799486,0.0386385136469733,-0.448944754686001,2.30693296661277,1.17024372964348,-1.20978976285035,0.398787475915555,0.162281757317288,0.941865969883244,0.19294328750166,0.0872482566221977,0.030778455081443,0.283309957924264,0.110431364810382,0.209332126155788,-0.410295943498067,0.498421457127164,0,0,0.757988662395259,0,0,0,0,0.242011337604741
"7","carnivore",0,-0.727140803182983,0.0644959298685034,0.101136363636364,0.197357555739059,-0.539775013812101,0.498154981549816,-9999,0.433583959899749,0.0480248346807468,-0.0654345571941718,-9999,1.19895273710771,0.0779134232402579,0.372449792654439,0.17029214338326,0.881600577337787,0.175437661384769,0.0774277946893673,0.0319348778960551,0.318573185731857,0.088943954026077,0.200104836605076,-9999,-1.0474394254242,0,0,1,0,0,0,0,0
"8","swine",0,-0.379056232641654,0.0600668607786045,0.107476635514019,0.197352587244284,0.428800754888463,0.521739130434783,-9999,0.455108359133127,0.045590328789432,0.21463329408217,-9999,1.18073754840435,0.115766598842671,0.176569133155026,0.172894470928229,0.89747188212845,0.1641750091379,0.0819629408290882,0.0312735899924512,0.322742474916388,0.0919280400180351,0.291987534712532,-0.801817820090804,-9999,0,0,0,0,0,1,0,0
"9","yinpterochiroptera",0,-0.103607933961852,0.0570619182517199,0.086053412462908,0.19375,0.577836334048951,0.491304347826087,-9999,0.342318059299191,0.046523670577396,-0.849958162092586,2.7270983960729,1.18147025358463,-9999,0.475138935810608,0.156239920441736,0.934489356837276,0.189826527543065,0.0850860713233659,0.0308579522460542,0.285507246376812,0.111706567322197,0.0237964827825669,-0.35392825911034,-0.375300491296739,0,0,0,0,0,0,0,1
"10","yinpterochiroptera",0,-0.608649487157491,0.0560441808140724,0.0995405819295559,0.189987163029525,0.316551259126658,0.492154065620542,0.262912230158625,0.367021276595745,0.0461914311429893,-0.861877600726357,-9999,1.15713462804678,-1.08781924679837,0.0501352649783059,0.160676644889861,0.91960043720466,0.192215955401472,0.0861743365947166,0.0303743096747801,0.283880171184023,0.110015075249163,0.236821352884387,0.0830685164524525,0.122629426403275,0,0,0,0,0,0,0,1
"11","swine",0,-0.693397285384594,0.0634445723053318,0.108138238573021,0.183724832214765,0.542859112253167,0.536756126021004,-9999,0.471428571428571,0.0456531487808356,0.418857993321966,-9999,1.16244215023888,0.141632193657495,0.254356854566225,0.174196092834138,0.891637870770463,0.163484180829696,0.0800842945093987,0.031837360951285,0.323220536756126,0.0923264796573323,0.31579296906086,-0.307778147117678,-9999,0,0,0,0,0,1,0,0
"12","swine",0,-0.37258123874904,0.060504745470233,0.109204368174727,0.193548387096774,0.285932290727993,0.532883642495784,-9999,0.463722397476341,0.0422560326068898,0.232375145010158,-9999,1.18647422145841,0.00507820977324188,0.502603327536586,0.17300116879056,0.897038101180148,0.167035611246058,0.0820264162369037,0.0314926660914582,0.33389544688027,0.0917204472467196,0.32604625985849,-0.158681602713132,-9999,0,0,0,0,0,1,0,0
"13","swine",0,-0.593745284992447,0.0630366018978762,0.116100766703176,0.18633034987795,0.37934117351835,0.538638985005767,-9999,0.47877358490566,0.0422897282811958,0.447817918547876,-9999,1.16683589489006,0.0507851670420698,0.466601752583397,0.173636649060439,0.887146925567283,0.166920045156955,0.082091825487027,0.0313300195812622,0.33679354094579,0.0910472973583391,0.338935639055854,0.0738447409343701,-9999,0,0,0,0,0,1,0,0
